Model,R2 score,MAE,RMSE
Random Forest (with Hyperparameter Tuning)),0.9011155295740715,0.14816277714848267,0.03782836488468863
KNN (with Hyperparameter Tuning),0.831590442756715,0.17832133759147267,0.2538213243514636
Linear Regression,0.8067729388709001,0.21011396202881866,0.07391922859578777
Ridge Regression,0.8127240625523249,0.20951882082037918,0.07164261956784661
Lasso Regression,0.8071016909596216,0.21156263266148398,0.07379346411613597
Decision Tree Regressor,0.8459710162832024,0.18020469885440205,0.058923960190709314
Random Forest Regressor (Base),0.8826646613781288,0.16216122198722738,0.21186496919716172
